"Status","Product code","Product user reference","Family","Barcode","CPNP number"," Price","Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions","Materials/Ingredients","Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US","Stock","1st image","2nd image","3rd image","4th image","Data updated","Stock updated","Price updated","Images updated"
"Active","EO-01","","EO","5055796528387","","1.36","1","Piece","1.36","10 ml Lavender Essential Oil","2.75","0.04","0.04","65x24 (mm)","Lavandula angustifolia","<p><strong>Latin Name : Lavandula Angustifolia<br>Part of Plant Used : Flowering Tips<br>Origin: France<br>Extraction Method : Steam Distillation</strong></p><p>Lavender has been used and cherished for centuries for its unmistakable aroma and myriad benefits. In ancient times, the Egyptians and Romans used Lavender for bathing, relaxation, cooking, and as a perfume. Its calming and relaxing qualities, when taken internally, continue to be Lavender&rsquo;s most notable attributes.<br style=""color: rgb(114, 114, 114); font-family: Ubuntu, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><br style=""color: rgb(114, 114, 114); font-family: Ubuntu, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;"">Applied topically, Lavender is frequently used to reduce the appearance of skin imperfections. Add to bath water to soak away stress or apply to the temples and the back of the neck. Add a few drops of Lavender to pillows, bedding, or bottoms of feet to relax and prepare for a restful night&rsquo;s sleep. Due to Lavender&rsquo;s versatile properties, it is considered the must-have oil to have on hand at all times.&nbsp;</p><p><strong>Uses</strong><br>Add a few drops of Lavender Oil to pillows, bedding, or bottoms of feet at bedtime.<br>Keep a bottle of Lavender on hand to soothe occasional skin irritations.<br>Freshen your linen closet, mattress, car, or the air by combining Lavender with water in a spray bottle.</p><p><strong>Directions for Use</strong><br>Diffusion: Use three to four drops in the diffuser of your choice.<br>Topical use: Apply one to two drops to desired area. Dilute with our&nbsp;wholesale Fractionated Coconut Oil&nbsp;to minimize any skin sensitivity.</p><p><strong>Cautions</strong><br>Possible skin sensitivity. Keep out of reach of children. If you are pregnant, nursing, or under a doctor&rsquo;s care, consult your physician. Avoid contact with eyes, inner ears, and sensitive areas.</p>","Latin Name : Lavandula AngustifoliaPart of Plant Used : Flowering TipsOrigin: FranceExtraction Method : Steam DistillationLavender has been used and cherished for centuries for its unmistakable aroma and myriad benefits. In ancient times, the Egyptians and Romans used Lavender for bathing, relaxation, cooking, and as a perfume. Its calming and relaxing qualities, when taken internally, continue to be Lavender’s most notable attributes.Applied topically, Lavender is frequently used to reduce the appearance of skin imperfections. Add to bath water to soak away stress or apply to the temples and the back of the neck. Add a few drops of Lavender to pillows, bedding, or bottoms of feet to relax and prepare for a restful night’s sleep. Due to Lavender’s versatile properties, it is considered the must-have oil to have on hand at all times. UsesAdd a few drops of Lavender Oil to pillows, bedding, or bottoms of feet at bedtime.Keep a bottle of Lavender on hand to soothe occasional skin irritations.Freshen your linen closet, mattress, car, or the air by combining Lavender with water in a spray bottle.Directions for UseDiffusion: Use three to four drops in the diffuser of your choice.Topical use: Apply one to two drops to desired area. Dilute with our wholesale Fractionated Coconut Oil to minimize any skin sensitivity.CautionsPossible skin sensitivity. Keep out of reach of children. If you are pregnant, nursing, or under a doctor’s care, consult your physician. Avoid contact with eyes, inner ears, and sensitive areas.","FRA","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1612450.jpeg","https://www.aw-dropship.com/wi/1829126.jpeg","https://www.aw-dropship.com/wi/1829203.jpeg","https://www.aw-dropship.com/wi/1829204.jpeg","2021-07-27 11:39","2020-10-15 7:59","2020-03-05 16:02","2020-11-27 8:47"
"Active","EO-02","","EO","5055796528394","","1.3","1","Piece","1.3","10 ml Tea Tree Essential Oil","2.65","0.04","0.04","65x24 (mm)","Melaleuca alternifolia","<p><strong>Latin Name : Melaleuca Alternifolia.<br>Part of Plant Used : Leaves &amp; Twigs<br>Source : Australia.<br>Extraction Method : Steam Distillation.</strong></p><p>In early times, it seems the leaves of this tree were infused to make tea, which is how the name came into being. Tea Tree &nbsp;Essential Oil is the concentrated liquid compounds steam distilled from the leaves of the tree Melaleuca alternifolia, which is native to the northeast coast of New South Wales, Australia. The oil is claimed to have valuable antiseptic and anti-fungal properties due to constituents called terpenoids, and is used in many personal care products and medicines today.</p><p>Tea tree oil is said to be good for relieving &nbsp;congestion, cold, cough and flu. It has been used to heal acne, fungal infections, dandruff, vaginal &nbsp; infections, haemorrhoids, athlete&#39;s foot, and is &nbsp; believed to soothe aching muscles and joint injuries. &nbsp; When added to bath water it helps &nbsp; control bacteria. &nbsp;Tea tree oil is not to be taken internally. It is &nbsp; usually used only on adults and must be kept away &nbsp; from children and pets. Don&#39;t use it if you&#39;re pregnant or &nbsp; lactating.</p><p>The tea tree has been known for its medicinal properties since ancient times in eastern Australia. The Australian aborigines are known to have been using the crushed leaves to heal cuts, burns, sores, and infections for hundreds of years. They inhaled the oils from the crushed leaves to relieve coughs and colds. They &nbsp; sprinkled this oil on wounds and applied a poultice on it. They infused the leaves and made tea to soothe sore throats. It was between 1920 and 1930 that the essential oil of this tree began to be known and used for its antimicrobial properties in Europe.</p>","Latin Name : Melaleuca Alternifolia.Part of Plant Used : Leaves & TwigsSource : Australia.Extraction Method : Steam Distillation.In early times, it seems the leaves of this tree were infused to make tea, which is how the name came into being. Tea Tree  Essential Oil is the concentrated liquid compounds steam distilled from the leaves of the tree Melaleuca alternifolia, which is native to the northeast coast of New South Wales, Australia. The oil is claimed to have valuable antiseptic and anti-fungal properties due to constituents called terpenoids, and is used in many personal care products and medicines today.Tea tree oil is said to be good for relieving  congestion, cold, cough and flu. It has been used to heal acne, fungal infections, dandruff, vaginal   infections, haemorrhoids, athlete's foot, and is   believed to soothe aching muscles and joint injuries.   When added to bath water it helps   control bacteria.  Tea tree oil is not to be taken internally. It is   usually used only on adults and must be kept away   from children and pets. Don't use it if you're pregnant or   lactating.The tea tree has been known for its medicinal properties since ancient times in eastern Australia. The Australian aborigines are known to have been using the crushed leaves to heal cuts, burns, sores, and infections for hundreds of years. They inhaled the oils from the crushed leaves to relieve coughs and colds. They   sprinkled this oil on wounds and applied a poultice on it. They infused the leaves and made tea to soothe sore throats. It was between 1920 and 1930 that the essential oil of this tree began to be known and used for its antimicrobial properties in Europe.","AUS","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609418.jpeg","https://www.aw-dropship.com/wi/1829127.jpeg","","","2021-07-27 11:39","2020-10-15 8:05","2020-02-17 6:36","2020-11-27 8:10"
"Active","EO-03","","EO","5055796528400","","1.02","1","Piece","1.02","10 ml Eucalyptus Essential Oil","2.85","0.04","0.04","65x24 (mm)","Eucalyptus globulus","<p><strong>Latin Name : Eucalyptus Globulus.<br>Part Of Plant Used : Leaves &amp; Twigs<br>Source : China.<br>Extraction Method : Steam Distillation.</strong></p><p>Eucalyptus Essential Oil is a concentrated liquid containing volatile aromacompounds from the Eucalyptus Globulus Tree. It is usually<br>distilled, sometimes expressed or solvent extracted. Eucalyptus essential oil is said to be antibacterial, disinfectant and an analgesic. It has been used to relieve coughs, colds, and other such respiratory troubles. It soothes muscle and joint pains, and helps to heal wounds, burns, ulcers and insect bites. In<br>aromatherapy eucalyptus is said to &nbsp; promote activity, vitality, and energy.</p><p>For respiratory troubles, a few drops of this oil placed on a cloth can be inhaled through the mouth and exhaled through the nose<br>for half a minute. It is applied directly on sores, rashes and insect<br>bites. Add a few drops to your bath water to feel invigorated and<br>refreshed. Soak your sore feet in a basin of warm water with 4-5<br>drops of this oil for relief. A few drops of oil in a diffuser is said to<br>kill germs and airborne bacteria, a good idea for a sickroom.<br>Eucalyptus essential oil is for external use only; always consult an authorised practitioner when using it as a health remedy.</p><p>Essential oils have been understood to have played a role in &nbsp; healing in ancient times in Egypt, China, and other parts of the world. They are said to be the oldest form of medicine and &nbsp; cosmetic, since they are distilled from plants, not involving &nbsp; complicated processes or machinery, but an art nonetheless. For their healing and aromatic properties, they were considered more valuable than gold to the ancients.</p><p><br></p>","Latin Name : Eucalyptus Globulus.Part Of Plant Used : Leaves & TwigsSource : China.Extraction Method : Steam Distillation.Eucalyptus Essential Oil is a concentrated liquid containing volatile aromacompounds from the Eucalyptus Globulus Tree. It is usuallydistilled, sometimes expressed or solvent extracted. Eucalyptus essential oil is said to be antibacterial, disinfectant and an analgesic. It has been used to relieve coughs, colds, and other such respiratory troubles. It soothes muscle and joint pains, and helps to heal wounds, burns, ulcers and insect bites. Inaromatherapy eucalyptus is said to   promote activity, vitality, and energy.For respiratory troubles, a few drops of this oil placed on a cloth can be inhaled through the mouth and exhaled through the nosefor half a minute. It is applied directly on sores, rashes and insectbites. Add a few drops to your bath water to feel invigorated andrefreshed. Soak your sore feet in a basin of warm water with 4-5drops of this oil for relief. A few drops of oil in a diffuser is said tokill germs and airborne bacteria, a good idea for a sickroom.Eucalyptus essential oil is for external use only; always consult an authorised practitioner when using it as a health remedy.Essential oils have been understood to have played a role in   healing in ancient times in Egypt, China, and other parts of the world. They are said to be the oldest form of medicine and   cosmetic, since they are distilled from plants, not involving   complicated processes or machinery, but an art nonetheless. For their healing and aromatic properties, they were considered more valuable than gold to the ancients.","CHN","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609419.jpeg","https://www.aw-dropship.com/wi/1617504.jpeg","https://www.aw-dropship.com/wi/1829128.jpeg","","2021-07-27 11:39","2020-10-15 8:05","2020-03-05 16:02","2020-11-27 8:10"
"Active","EO-04","","EO","5055796528417","","1.14","1","Piece","1.14","10 ml Peppermint Essential Oil","2.5","0.04","0.04","65x24 (mm)","","<p><strong>Latin Name : Mentha Piperita.<br>Part Of Plant Used : Flowering Herb.<br>Source : India.<br>Extraction Method : Steam Distillation.</strong></p><p>Peppermint Essential Oil is said to be good for ailments like asthma, colic, fever, flatulence, headache, nausea, chest congestion and vertigo. This oil is supposed to be excellent for mental fatigue and depression, refreshing and stimulating with its menthol content. It is good for the ski and is used in lotions to treat sunburn, itchiness or inflamed skin. It helps fight bad breath and gum infections when used in mouthwashes. When used in an oil burner it is not only therapeutic it also keeps away mosquitoes and other insects.&nbsp;</p><p>Peppermint is native to the Mediterranean but is now grown in other countries in Europe, America, and Asia. Discoveries prove that &nbsp; peppermint has been used since ancient times in Egypt, Greece, Rome, China and Japan. According to Greek myth, a nymph called Mentha was turned, in a fit of anger, into a mint plant by her lover&#39;s wife Persephone. According to Pliny, peppermint was used to crown the Greeks and Romans during feasts. It has been used medicinally in England for the last few centuries.</p>","Latin Name : Mentha Piperita.Part Of Plant Used : Flowering Herb.Source : India.Extraction Method : Steam Distillation.Peppermint Essential Oil is said to be good for ailments like asthma, colic, fever, flatulence, headache, nausea, chest congestion and vertigo. This oil is supposed to be excellent for mental fatigue and depression, refreshing and stimulating with its menthol content. It is good for the ski and is used in lotions to treat sunburn, itchiness or inflamed skin. It helps fight bad breath and gum infections when used in mouthwashes. When used in an oil burner it is not only therapeutic it also keeps away mosquitoes and other insects. Peppermint is native to the Mediterranean but is now grown in other countries in Europe, America, and Asia. Discoveries prove that   peppermint has been used since ancient times in Egypt, Greece, Rome, China and Japan. According to Greek myth, a nymph called Mentha was turned, in a fit of anger, into a mint plant by her lover's wife Persephone. According to Pliny, peppermint was used to crown the Greeks and Romans during feasts. It has been used medicinally in England for the last few centuries.","IND","3301241000","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609420.jpeg","https://www.aw-dropship.com/wi/1829129.jpeg","","","2021-07-27 11:39","2020-10-15 8:07","2020-03-05 16:02","2020-11-27 8:11"
"Active","EO-05","","EO","5055796528424","","1.2","1","Piece","1.2","10 ml Rosemary Essential Oil","2.75","0.04","0.04","65x24 (mm)","","<p><strong>Latin Name : Rosmarinus Officinalis.<br>Part of Plant Used : Flowering Tops.<br>Source : Tunisia.<br>Extraction Method : Steam Distillation.</strong></p><p>The Essential Oil of the Rosemary Herb is steam distilled from the flowers, stems and leaves of the plant. According to the the British Pharmacopoeia, the oil distilled from the flowering tops is superior to that obtained from the stem and leaves, which is where &nbsp;nearly all commercial oil are said to be distilled. The smell of rosemary essential oil is woody and herbal and is used in aromatherapy to refresh and stimulate the mind.</p><p>This oil is helpful to treat wounds, burns, colds, flu, fatigue, digestive trouble, headaches, asthma, bronchitis, gout, rheumatism, liver and gall bladder problems, water &nbsp; retention and poor circulation. For a massage, rosemary oil is often mixed with a base oil or two like almond, apricot kernel or hazelnut oil. It is good for the hair as it is said to increase circulation to the scalp and promote hair growth. Never use this oil internally, and avoid it if you&#39;re pregnant or suffer from high blood pressure or epilepsy.&nbsp;</p><p>Rosemary was well known and used in the ancient world. It was &nbsp; believed to improve memory, so it became a symbol of fidelity and was used in weddings, funerals and other religious ceremonies. A sprig of rosemary was tied beautifully with ribbons and handed to wedding guests as a symbol of love and loyalty. &#39;Hungary water,&#39; made of fresh rosemary tops soaked in wine for a few days was made for the Queen of Hungary and is said to have cured her of &nbsp; paralysis.</p>","Latin Name : Rosmarinus Officinalis.Part of Plant Used : Flowering Tops.Source : Tunisia.Extraction Method : Steam Distillation.The Essential Oil of the Rosemary Herb is steam distilled from the flowers, stems and leaves of the plant. According to the the British Pharmacopoeia, the oil distilled from the flowering tops is superior to that obtained from the stem and leaves, which is where  nearly all commercial oil are said to be distilled. The smell of rosemary essential oil is woody and herbal and is used in aromatherapy to refresh and stimulate the mind.This oil is helpful to treat wounds, burns, colds, flu, fatigue, digestive trouble, headaches, asthma, bronchitis, gout, rheumatism, liver and gall bladder problems, water   retention and poor circulation. For a massage, rosemary oil is often mixed with a base oil or two like almond, apricot kernel or hazelnut oil. It is good for the hair as it is said to increase circulation to the scalp and promote hair growth. Never use this oil internally, and avoid it if you're pregnant or suffer from high blood pressure or epilepsy. Rosemary was well known and used in the ancient world. It was   believed to improve memory, so it became a symbol of fidelity and was used in weddings, funerals and other religious ceremonies. A sprig of rosemary was tied beautifully with ribbons and handed to wedding guests as a symbol of love and loyalty. 'Hungary water,' made of fresh rosemary tops soaked in wine for a few days was made for the Queen of Hungary and is said to have cured her of   paralysis.","TUN","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609421.jpeg","https://www.aw-dropship.com/wi/1829130.jpeg","","","2021-07-27 11:39","2020-10-15 8:07","2020-03-05 16:02","2020-11-27 8:11"
"Active","EO-06","","EO","5055796528431","","1.98","1","Piece","1.98","10 ml Ylang Ylang I Essential Oil","4.95","0.04","0.04","65x24 (mm)","","<p><strong>Latin Name : Cananga Odorata.<br>Part of Plant Used : Flowers.<br>Source : Camores.<br>Extraction Method : Steam Distillation.</strong></p><p>Ylang Ylang is a large tree native to the far eastern countries like Malaysia, Philippines, and Indonesia. Its yellow flowers are strongly fragrant and have long trailing petals. The essential oil made from it is available in abundance and is<br>&nbsp; therefore the least expensive but is highly favoured for its fragrance in the perfume and cosmetics industries, and is also being used in the food industry today.&nbsp;</p><p>According to science, Ylang-Ylang Essential Oil is a mental stimulant. In contrast, the world of aromatherapy considers this oil one of the best at relaxing the mind and the body. Simply smelling it is supposed to help lower blood pressure.<br>&nbsp;Taking a bath with the oil or using it in a massage oil naturally enhances the relaxation experience. It is used to relieve stress, depression, shock, or anxiety. When used as a hair tonic, it is supposed to balance oil production. Be warned, though, that high concentrations of ylang ylang can cause headaches or nausea.&nbsp;</p><p>Ylang Ylang means the flower of flowers in Malay, and was traditionally thought of as an aphrodisiac and a relaxing fragrance, so the flowers of this tree were strewn on the marriage bed of a newly married couple in Indonesia. Muslim women used to burn this oil to scent their harems, the part of the palace reserved for women. In China, the fragrance was used to purify the robes of the mandarin. Ylang Ylang essential oil has been associated with perfumes and relaxation for a long time.</p>","Latin Name : Cananga Odorata.Part of Plant Used : Flowers.Source : Camores.Extraction Method : Steam Distillation.Ylang Ylang is a large tree native to the far eastern countries like Malaysia, Philippines, and Indonesia. Its yellow flowers are strongly fragrant and have long trailing petals. The essential oil made from it is available in abundance and is  therefore the least expensive but is highly favoured for its fragrance in the perfume and cosmetics industries, and is also being used in the food industry today. According to science, Ylang-Ylang Essential Oil is a mental stimulant. In contrast, the world of aromatherapy considers this oil one of the best at relaxing the mind and the body. Simply smelling it is supposed to help lower blood pressure. Taking a bath with the oil or using it in a massage oil naturally enhances the relaxation experience. It is used to relieve stress, depression, shock, or anxiety. When used as a hair tonic, it is supposed to balance oil production. Be warned, though, that high concentrations of ylang ylang can cause headaches or nausea. Ylang Ylang means the flower of flowers in Malay, and was traditionally thought of as an aphrodisiac and a relaxing fragrance, so the flowers of this tree were strewn on the marriage bed of a newly married couple in Indonesia. Muslim women used to burn this oil to scent their harems, the part of the palace reserved for women. In China, the fragrance was used to purify the robes of the mandarin. Ylang Ylang essential oil has been associated with perfumes and relaxation for a long time.","COM","3301291100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609422.jpeg","https://www.aw-dropship.com/wi/1829131.jpeg","","","2021-07-27 11:39","2020-10-15 8:08","2020-03-05 16:02","2020-11-27 8:11"
"Active","EO-07","","EO","5055796528448","","2.22","1","Piece","2.22","10 ml Clary Sage Essential Oil","7.25","0.04","0.04","65x24 (mm)","","<p><strong>Latin Name : Salvia Sclarea<br>Part of Plant Used : Tops and Leaves.<br>Source : Russia.<br>Extraction Method : Steam Distillation.</strong></p><p>Clary Sage Essential Oil has sedative abilities that induce feelings of relaxation, clarity, and calmness while alleviating dizziness, anxiety, and irritability. It is also known to stimulate libido in both men and women.</p><p>Clary Sage Essential Oil has earned the nickname &ldquo;The Woman&rsquo;s Oil,&rdquo; due to its benefits for women&rsquo;s health, especially in relation to menstruation and menopause.&nbsp;</p><p>Clary Sage oil calms and soothes the skin. Clary Sage oil can also be applied to promote healthy-looking hair and scalp. If used aromatically, Clary Sage oil promotes feelings of relaxation in preparation for a restful night&rsquo;s sleep. &nbsp;</p>","Latin Name : Salvia SclareaPart of Plant Used : Tops and Leaves.Source : Russia.Extraction Method : Steam Distillation.Clary Sage Essential Oil has sedative abilities that induce feelings of relaxation, clarity, and calmness while alleviating dizziness, anxiety, and irritability. It is also known to stimulate libido in both men and women.Clary Sage Essential Oil has earned the nickname “The Woman’s Oil,” due to its benefits for women’s health, especially in relation to menstruation and menopause. Clary Sage oil calms and soothes the skin. Clary Sage oil can also be applied to promote healthy-looking hair and scalp. If used aromatically, Clary Sage oil promotes feelings of relaxation in preparation for a restful night’s sleep.  ","RUS","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609423.jpeg","https://www.aw-dropship.com/wi/1829132.jpeg","","","2021-07-27 11:39","2020-10-15 8:08","2020-03-05 16:02","2020-11-27 8:12"
"Active","EO-08","","EO","5055796528455","","3.45","1","Piece","3.45","10 ml Geranium Essential Oil","6.95","0.04","0.04","65x24 (mm)","","<p><strong>Latin Name : Pelargonium Graveolens.<br>Part Of Plant Used : Leaves, Stalks &amp; Flowers.<br>Source : Egypt.<br>Extraction Method : Steam Distillation.</strong></p><p>Geranium Essential Oil is steam distilled from the leaves and stalks of the plant Pelargonium odoratissimum (apple geranium). It has a strong smell with a floral aroma, and hints of mint and apple. The main feature of this oil is its ability to balance and uplift, and it is used to do both on the mind and body, to ease a host of ailments.&nbsp;</p><p>Geranium essential oil helps balance oily and dry skin, and also &nbsp; brings about balance of the mind, relieving stress and anxiety. It is said to work on the adrenal cortex, which has a balancing effect on the hormone system. Geranium oil has<br>been used to treat acne, bruises, burns, cuts, dermatitis, eczema, haemorrhoids, ringworm, ulcers, breast engorgement, oedema, poor circulation, sore throat, tonsillitis, PMS, menopausal problems, stress, and neuralgia. Its strong smell<br>chases away mosquitoes. Add a few drops to shampoo to get rid of head lice.</p><p>These geraniums were believed to keep away spirits (like they did mosquitoes!) and so they were planted around houses as hedges. The plants originated from South Africa, Reunion, Madagascar, Egypt, and Morocco and were introduced to European countries in the 17th century. Although there are about 700 varieties of the plant, only 10 supply essential oil in viable quantities. The varieties planted in gardens usually produce too little oil to use for extraction.</p>","Latin Name : Pelargonium Graveolens.Part Of Plant Used : Leaves, Stalks & Flowers.Source : Egypt.Extraction Method : Steam Distillation.Geranium Essential Oil is steam distilled from the leaves and stalks of the plant Pelargonium odoratissimum (apple geranium). It has a strong smell with a floral aroma, and hints of mint and apple. The main feature of this oil is its ability to balance and uplift, and it is used to do both on the mind and body, to ease a host of ailments. Geranium essential oil helps balance oily and dry skin, and also   brings about balance of the mind, relieving stress and anxiety. It is said to work on the adrenal cortex, which has a balancing effect on the hormone system. Geranium oil hasbeen used to treat acne, bruises, burns, cuts, dermatitis, eczema, haemorrhoids, ringworm, ulcers, breast engorgement, oedema, poor circulation, sore throat, tonsillitis, PMS, menopausal problems, stress, and neuralgia. Its strong smellchases away mosquitoes. Add a few drops to shampoo to get rid of head lice.These geraniums were believed to keep away spirits (like they did mosquitoes!) and so they were planted around houses as hedges. The plants originated from South Africa, Reunion, Madagascar, Egypt, and Morocco and were introduced to European countries in the 17th century. Although there are about 700 varieties of the plant, only 10 supply essential oil in viable quantities. The varieties planted in gardens usually produce too little oil to use for extraction.","EGY","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609424.jpeg","https://www.aw-dropship.com/wi/1829135.jpeg","","","2021-07-27 11:39","2020-10-15 8:09","2020-02-17 6:36","2020-11-27 8:18"
"Active","EO-09","","EO","5055796528462","","1.68","1","Piece","1.68","10 ml Sandalwood Amayris Essential Oil","5.95","0.04","0.04","65x24 (mm)","","<p><strong>Latin Name : Amyris Balsamifera.<br>Part of Plant Used : Wood &amp; Branches.<br>Source : Jamaica.<br>Extraction Method : Steam Distillation.</strong></p><p>Amyris essential oil is also called West Indian Sandalwood oil because its odour is reminiscent of sandalwood. It is obtained by steam distillation from the bark and branches of the Amyris balsamifera tree. Because of its high oil content, this wood burns by itself, like a candle, and is hence called candle wood by the local population. It is a less expensive alternate to pure sandalwood.</p><p>This oil has been used to clean wounds, and treat influenza, &nbsp;diarrhoea. It is said to be very effective at alleviating cystitis and vaginal infections. When used in a vaporiser, it helps ease anxiety and ension, insomnia, and acts as an aphrodisiac, relieving impotence and frigidity. It is used to treat coughs and colds, and bronchitis. Its calming properties are said to help during meditation. It is also a muscle &nbsp; relaxant and emollient.&nbsp;</p><p>The botanical origin of the tree yielding this oil was unknown until 1886 when the main differences between this plant and true sandalwood were identified by microscopic examination of the leaves. The Amyris balsamifera tree grows wild in Haiti. For their healing and aromatic properties, essential oils were considered more valuable than gold to ancient humans.</p>","Latin Name : Amyris Balsamifera.Part of Plant Used : Wood & Branches.Source : Jamaica.Extraction Method : Steam Distillation.Amyris essential oil is also called West Indian Sandalwood oil because its odour is reminiscent of sandalwood. It is obtained by steam distillation from the bark and branches of the Amyris balsamifera tree. Because of its high oil content, this wood burns by itself, like a candle, and is hence called candle wood by the local population. It is a less expensive alternate to pure sandalwood.This oil has been used to clean wounds, and treat influenza,  diarrhoea. It is said to be very effective at alleviating cystitis and vaginal infections. When used in a vaporiser, it helps ease anxiety and ension, insomnia, and acts as an aphrodisiac, relieving impotence and frigidity. It is used to treat coughs and colds, and bronchitis. Its calming properties are said to help during meditation. It is also a muscle   relaxant and emollient. The botanical origin of the tree yielding this oil was unknown until 1886 when the main differences between this plant and true sandalwood were identified by microscopic examination of the leaves. The Amyris balsamifera tree grows wild in Haiti. For their healing and aromatic properties, essential oils were considered more valuable than gold to ancient humans.","JAM","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609425.jpeg","https://www.aw-dropship.com/wi/1829136.jpeg","","","2021-07-27 11:39","2020-10-15 8:09","2020-03-05 16:02","2020-11-27 8:18"
"Active","EO-11","","EO","5055796528486","","2.16","1","Piece","2.16","10 ml Jasmine Dilute Essential Oil","8.75","0.04","0.04","65x24 (mm)","","<p><strong>Latin Name : Jasminum Officinale<br>Part of Plant Used :&nbsp;Dried Leaves<br>Source :&nbsp;India<br>Extraction Method :&nbsp;Steam Distillation</strong></p><p><strong>5% Dilution in Grapeseed Oil</strong></p><p>It may be the aphrodisiac properties that placed jasmine oil in such high demand throughout history. Jasmine essential oil was used in healing and religious ceremonies because of this compelling quality. In China, jasmine oil was used in sick rooms to make the air fragrant, but it was also thought to clear the air of pollutants even before the discovery of bacteria. Ancient Egyptians used jasmine oil for headaches, nervous disorders, and to promote restful sleep.</p><p>Today, the essence is produced through a process called solvent extraction. At first glance, jasmine is all about scent. Its complex, floral energy is a mood-lifter for most people and often provides aphrodisiac qualities. Studies have shown that just smelling jasmine can increase alertness, hand-eye coordination, boost self-confidence, and happiness, and reduce stress.</p><p>In a therapeutic sense, jasmine can treat dry, aging skin. It is used in low concentrations to treat eczema and dermatitis. Additionally, jasmine is useful in fading scars and treating stretch marks after delivery. Jasmine can relieve anger, anxiety, and stress without acting as a sedative. Jasmine opens one up to options available through clearer thinking. This calming and balancing power can also reduce inflammation from emotional stress.</p><p>Jasmine has a long history of enhancing libido, releasing inhibitions, and inspiring sexual desire. Jasmine has properties which regulate period cycles, can reduce period pain, lethargy, and mood swings. It can also delay the onset of menopause.</p>","Latin Name : Jasminum OfficinalePart of Plant Used : Dried LeavesSource : IndiaExtraction Method : Steam Distillation5% Dilution in Grapeseed OilIt may be the aphrodisiac properties that placed jasmine oil in such high demand throughout history. Jasmine essential oil was used in healing and religious ceremonies because of this compelling quality. In China, jasmine oil was used in sick rooms to make the air fragrant, but it was also thought to clear the air of pollutants even before the discovery of bacteria. Ancient Egyptians used jasmine oil for headaches, nervous disorders, and to promote restful sleep.Today, the essence is produced through a process called solvent extraction. At first glance, jasmine is all about scent. Its complex, floral energy is a mood-lifter for most people and often provides aphrodisiac qualities. Studies have shown that just smelling jasmine can increase alertness, hand-eye coordination, boost self-confidence, and happiness, and reduce stress.In a therapeutic sense, jasmine can treat dry, aging skin. It is used in low concentrations to treat eczema and dermatitis. Additionally, jasmine is useful in fading scars and treating stretch marks after delivery. Jasmine can relieve anger, anxiety, and stress without acting as a sedative. Jasmine opens one up to options available through clearer thinking. This calming and balancing power can also reduce inflammation from emotional stress.Jasmine has a long history of enhancing libido, releasing inhibitions, and inspiring sexual desire. Jasmine has properties which regulate period cycles, can reduce period pain, lethargy, and mood swings. It can also delay the onset of menopause.","IND","3301294100","0.00%","","OnDemand","https://www.aw-dropship.com/wi/1609427.jpeg","https://www.aw-dropship.com/wi/1829138.jpeg","","","2021-07-27 11:39","2020-10-15 8:10","2020-03-05 16:02","2020-11-27 8:19"
